Testing Kafka

Throughput Value 10000000 Num-Records: 1000
1000 records sent, 5208.333333 records/sec (0.05 MB/sec), 5.99 ms avg latency, 162.00 ms max latency, 4 ms 50th, 14 ms 95th, 15 ms 99th, 162 ms 99.9th.

Throughput Value 10000000 Num-Records: 10000
10000 records sent, 40983.606557 records/sec (0.39 MB/sec), 4.17 ms avg latency, 151.00 ms max latency, 4 ms 50th, 8 ms 95th, 9 ms 99th, 10 ms 99.9th.

Throughput Value 10000000 Num-Records: 100000
100000 records sent, 176056.338028 records/sec (1.68 MB/sec), 1.90 ms avg latency, 154.00 ms max latency, 1 ms 50th, 6 ms 95th, 14 ms 99th, 15 ms 99.9th.

Throughput Value 10000000 Num-Records: 1000000
1000000 records sent, 594883.997620 records/sec (5.67 MB/sec), 1.73 ms avg latency, 177.00 ms max latency, 1 ms 50th, 6 ms 95th, 13 ms 99th, 19 ms 99.9th.

Throughput Value 10000000 Num-Records: 10000000
6785298 records sent, 1357059.6 records/sec (12.94 MB/sec), 0.9 ms avg latency, 152.0 max latency.
10000000 records sent, 1481481.481481 records/sec (14.13 MB/sec), 0.83 ms avg latency, 152.00 ms max latency, 1 ms 50th, 1 ms 95th, 3 ms 99th, 8 ms 99.9th.

Throughput Value 10000000 Num-Records: 100000000
5471111 records sent, 1094222.2 records/sec (10.44 MB/sec), 1.3 ms avg latency, 149.0 max latency.
9133991 records sent, 1826798.2 records/sec (17.42 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9013962 records sent, 1802792.4 records/sec (17.19 MB/sec), 0.7 ms avg latency, 11.0 max latency.
7757930 records sent, 1551586.0 records/sec (14.80 MB/sec), 1.1 ms avg latency, 12.0 max latency.
8494663 records sent, 1698932.6 records/sec (16.20 MB/sec), 0.8 ms avg latency, 11.0 max latency.
8987705 records sent, 1797541.0 records/sec (17.14 MB/sec), 0.7 ms avg latency, 17.0 max latency.
8923895 records sent, 1784779.0 records/sec (17.02 MB/sec), 0.7 ms avg latency, 24.0 max latency.
9165369 records sent, 1833073.8 records/sec (17.48 MB/sec), 0.7 ms avg latency, 9.0 max latency.
9054084 records sent, 1810816.8 records/sec (17.27 MB/sec), 0.7 ms avg latency, 15.0 max latency.
9123262 records sent, 1824652.4 records/sec (17.40 MB/sec), 0.7 ms avg latency, 9.0 max latency.
8593931 records sent, 1718786.2 records/sec (16.39 MB/sec), 0.8 ms avg latency, 8.0 max latency.
100000000 records sent, 1685232.309274 records/sec (16.07 MB/sec), 0.80 ms avg latency, 149.00 ms max latency, 1 ms 50th, 1 ms 95th, 5 ms 99th, 9 ms 99.9th.

Throughput Value 10000000 Num-Records: 1000000000
5658303 records sent, 1131660.6 records/sec (10.79 MB/sec), 1.0 ms avg latency, 167.0 max latency.
8776911 records sent, 1755382.2 records/sec (16.74 MB/sec), 0.7 ms avg latency, 8.0 max latency.
8861767 records sent, 1772353.4 records/sec (16.90 MB/sec), 0.7 ms avg latency, 17.0 max latency.
7182857 records sent, 1436571.4 records/sec (13.70 MB/sec), 1.1 ms avg latency, 20.0 max latency.
8665059 records sent, 1733011.8 records/sec (16.53 MB/sec), 0.8 ms avg latency, 9.0 max latency.
7808581 records sent, 1561716.2 records/sec (14.89 MB/sec), 1.1 ms avg latency, 59.0 max latency.
8545968 records sent, 1709193.6 records/sec (16.30 MB/sec), 1.3 ms avg latency, 79.0 max latency.
9004370 records sent, 1800874.0 records/sec (17.17 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9108597 records sent, 1821719.4 records/sec (17.37 MB/sec), 0.7 ms avg latency, 15.0 max latency.
8597417 records sent, 1719483.4 records/sec (16.40 MB/sec), 0.8 ms avg latency, 8.0 max latency.
8211234 records sent, 1642246.8 records/sec (15.66 MB/sec), 1.0 ms avg latency, 37.0 max latency.
8664323 records sent, 1732864.6 records/sec (16.53 MB/sec), 0.8 ms avg latency, 13.0 max latency.
8412740 records sent, 1682548.0 records/sec (16.05 MB/sec), 0.9 ms avg latency, 32.0 max latency.
7990395 records sent, 1598079.0 records/sec (15.24 MB/sec), 0.9 ms avg latency, 30.0 max latency.
6026912 records sent, 1205382.4 records/sec (11.50 MB/sec), 1.4 ms avg latency, 86.0 max latency.
5338769 records sent, 1067753.8 records/sec (10.18 MB/sec), 1.5 ms avg latency, 19.0 max latency.
5470076 records sent, 1094015.2 records/sec (10.43 MB/sec), 5.7 ms avg latency, 277.0 max latency.
6681191 records sent, 1336238.2 records/sec (12.74 MB/sec), 1.0 ms avg latency, 13.0 max latency.
6704179 records sent, 1340835.8 records/sec (12.79 MB/sec), 1.3 ms avg latency, 72.0 max latency.
6154291 records sent, 1229874.3 records/sec (11.73 MB/sec), 1.4 ms avg latency, 42.0 max latency.
6117517 records sent, 1223503.4 records/sec (11.67 MB/sec), 1.4 ms avg latency, 53.0 max latency.
6713456 records sent, 1342691.2 records/sec (12.80 MB/sec), 1.0 ms avg latency, 8.0 max latency.
7052278 records sent, 1410455.6 records/sec (13.45 MB/sec), 1.0 ms avg latency, 7.0 max latency.
7469933 records sent, 1493986.6 records/sec (14.25 MB/sec), 2.4 ms avg latency, 180.0 max latency.
6288576 records sent, 1257715.2 records/sec (11.99 MB/sec), 2.1 ms avg latency, 83.0 max latency.
5385364 records sent, 1077072.8 records/sec (10.27 MB/sec), 3.1 ms avg latency, 159.0 max latency.
6232975 records sent, 1246595.0 records/sec (11.89 MB/sec), 2.2 ms avg latency, 98.0 max latency.
7116671 records sent, 1423334.2 records/sec (13.57 MB/sec), 1.3 ms avg latency, 70.0 max latency.
7474161 records sent, 1494832.2 records/sec (14.26 MB/sec), 0.9 ms avg latency, 7.0 max latency.
6893094 records sent, 1378618.8 records/sec (13.15 MB/sec), 5.8 ms avg latency, 269.0 max latency.
6088235 records sent, 1217647.0 records/sec (11.61 MB/sec), 2.5 ms avg latency, 51.0 max latency.
6629909 records sent, 1325981.8 records/sec (12.65 MB/sec), 1.6 ms avg latency, 24.0 max latency.
7067297 records sent, 1413459.4 records/sec (13.48 MB/sec), 7.0 ms avg latency, 336.0 max latency.
7582637 records sent, 1516527.4 records/sec (14.46 MB/sec), 0.9 ms avg latency, 7.0 max latency.
7397446 records sent, 1479489.2 records/sec (14.11 MB/sec), 3.6 ms avg latency, 234.0 max latency.
7373107 records sent, 1474621.4 records/sec (14.06 MB/sec), 3.6 ms avg latency, 223.0 max latency.
7544486 records sent, 1508897.2 records/sec (14.39 MB/sec), 2.4 ms avg latency, 178.0 max latency.
8499954 records sent, 1699990.8 records/sec (16.21 MB/sec), 0.9 ms avg latency, 8.0 max latency.
8518489 records sent, 1703697.8 records/sec (16.25 MB/sec), 2.0 ms avg latency, 164.0 max latency.
