Testing Kafka

Throughput Value 10000 Num-Records: 1000
1000 records sent, 5813.953488 records/sec (0.06 MB/sec), 7.12 ms avg latency, 151.00 ms max latency, 7 ms 50th, 12 ms 95th, 13 ms 99th, 151 ms 99.9th.

Throughput Value 10000 Num-Records: 10000
10000 records sent, 9920.634921 records/sec (0.09 MB/sec), 1.33 ms avg latency, 150.00 ms max latency, 1 ms 50th, 3 ms 95th, 6 ms 99th, 10 ms 99.9th.

Throughput Value 10000 Num-Records: 100000
50012 records sent, 9998.4 records/sec (0.10 MB/sec), 0.7 ms avg latency, 151.0 max latency.
100000 records sent, 9991.008093 records/sec (0.10 MB/sec), 0.70 ms avg latency, 151.00 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 10 ms 99.9th.

Throughput Value 10000 Num-Records: 788 records sent, 0.2 records/sec (0.00 MB/sec), 4939.2 ms avg latency, 3891498.0 max latency.
ency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 3.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 11.0 max latency.
50020 records sent, 10004.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 25.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 11.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 15.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 7.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 4.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 12.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 17.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 4.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.6 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.6 ms avg latency, 4.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 14.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.6 ms avg latency, 2.0 max latency.
1000000 records sent, 9999.300049 records/sec (0.10 MB/sec), 0.73 ms avg latency, 153.00 ms max latency, 1 ms 50th, 1 ms 95th, 1 ms 99th, 7 ms 99.9th.

Throughput Value 10000 Num-Records: 10000000
49992 records sent, 9996.4 records/sec (0.10 MB/sec), 0.8 ms avg latency, 146.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.6 ms avg latency, 8.0 max latency.
